<ERROR> 2016-07-02 18:12:16,654 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:12:16,667 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:17:26,829 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:17:26,835 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:20:27,865 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:20:27,867 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:23:39,381 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:23:39,382 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:23:40,516 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:23:40,516 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:24:12,688 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:24:12,690 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:25:13,198 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:25:13,204 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:25:14,338 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:25:14,339 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:25:44,197 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:25:44,200 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:25:45,140 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:25:45,144 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:26:00,000 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:26:00,005 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:26:01,576 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:26:01,578 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:26:11,434 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:26:11,436 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:26:12,365 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:26:12,365 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:27:14,719 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:27:14,729 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:27:35,249 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:27:35,256 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:28:43,536 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:28:43,536 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:28:57,490 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:28:57,494 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:29:17,025 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:29:17,026 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:29:26,447 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:29:26,451 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:29:29,369 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:29:29,369 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:29:29,759 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:29:29,763 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:29:37,918 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:29:37,921 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:29:56,381 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:29:56,388 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:30:10,812 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:30:10,819 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:30:44,542 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:30:44,546 (10580, 11540) [views.get:40] Ileggal intrution!
<ERROR> 2016-07-02 18:30:45,611 (10580, 11540) [views.get:39] this is test log file .....
<CRITICAL> 2016-07-02 18:30:45,611 (10580, 11540) [views.get:40] Ileggal intrution!
